# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-03-21 20:10:08 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 12340500 Clark Fork above Missoula MT
# -----------------------------------------------------------------------------------
#
# Data provided for site 12340500
#            TS   parameter     statistic     Description
#        215907       63680     00002     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Minimum)
#        215908       63680     00003     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Mean)
#        215909       63680     00001     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Maximum)
#        312247       00095     00001     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum)
#        312248       00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)
#        312249       00095     00002     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum)
#        313400       00010     00003     Temperature, water, degrees Celsius (Mean)
#        313401       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        313402       00010     00002     Temperature, water, degrees Celsius (Minimum)
#         81964       00060     00003     Discharge, cubic feet per second (Mean)
#         81965       80154     00003     Suspended sediment concentration, milligrams per liter (Mean)
#         81966       80155     00003     Suspended sediment discharge, short tons per day (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	81964_00060_00003	81964_00060_00003_cd
5s	15s	20d	14n	10s
USGS	12340500	2019-10-01	1950	A
USGS	12340500	2019-10-02	1940	A
USGS	12340500	2019-10-03	1930	A
USGS	12340500	2019-10-04	1910	A
USGS	12340500	2019-10-05	1890	A
USGS	12340500	2019-10-06	1890	A
USGS	12340500	2019-10-07	1860	A
USGS	12340500	2019-10-08	1870	A
USGS	12340500	2019-10-09	1900	A
USGS	12340500	2019-10-10	1930	A
USGS	12340500	2019-10-11	1900	A
USGS	12340500	2019-10-12	1890	A
USGS	12340500	2019-10-13	1910	A
USGS	12340500	2019-10-14	1920	A
USGS	12340500	2019-10-15	1910	A
USGS	12340500	2019-10-16	1900	A
USGS	12340500	2019-10-17	1890	A
USGS	12340500	2019-10-18	1900	A
USGS	12340500	2019-10-19	1900	A
USGS	12340500	2019-10-20	1910	A
USGS	12340500	2019-10-21	1920	A
USGS	12340500	2019-10-22	1930	A
USGS	12340500	2019-10-23	1960	A
USGS	12340500	2019-10-24	1980	A
USGS	12340500	2019-10-25	1960	A
USGS	12340500	2019-10-26	2010	A
USGS	12340500	2019-10-27	2020	A
USGS	12340500	2019-10-28	1980	A
USGS	12340500	2019-10-29	1830	A
USGS	12340500	2019-10-30	1630	A:e
USGS	12340500	2019-10-31	1620	A:e
USGS	12340500	2019-11-01	1770	A:e
USGS	12340500	2019-11-02	1810	A
USGS	12340500	2019-11-03	1840	A
USGS	12340500	2019-11-04	1860	A
USGS	12340500	2019-11-05	1880	A
USGS	12340500	2019-11-06	1890	A
USGS	12340500	2019-11-07	1860	A
USGS	12340500	2019-11-08	1800	A
USGS	12340500	2019-11-09	1800	A
USGS	12340500	2019-11-10	1830	A
USGS	12340500	2019-11-11	1810	A
USGS	12340500	2019-11-12	1660	A
USGS	12340500	2019-11-13	1820	A
USGS	12340500	2019-11-14	1820	A
USGS	12340500	2019-11-15	1810	A
USGS	12340500	2019-11-16	1800	A
USGS	12340500	2019-11-17	1830	A
USGS	12340500	2019-11-18	1890	A
USGS	12340500	2019-11-19	1960	A
USGS	12340500	2019-11-20	2010	A
USGS	12340500	2019-11-21	1960	A
USGS	12340500	2019-11-22	1800	A
USGS	12340500	2019-11-23	1750	A
USGS	12340500	2019-11-24	1830	A
USGS	12340500	2019-11-25	1840	A
USGS	12340500	2019-11-26	1780	A
USGS	12340500	2019-11-27	1690	A
USGS	12340500	2019-11-28	1580	A:e
USGS	12340500	2019-11-29	1420	A:e
USGS	12340500	2019-11-30	1320	A:e
USGS	12340500	2019-12-01	1350	A:e
USGS	12340500	2019-12-02	1340	A:e
USGS	12340500	2019-12-03	1680	A:e
USGS	12340500	2019-12-04	1790	A
USGS	12340500	2019-12-05	1750	A
USGS	12340500	2019-12-06	1720	A
USGS	12340500	2019-12-07	1670	A
USGS	12340500	2019-12-08	1710	A
USGS	12340500	2019-12-09	1700	A
USGS	12340500	2019-12-10	1660	A
USGS	12340500	2019-12-11	1640	A
USGS	12340500	2019-12-12	1640	A
USGS	12340500	2019-12-13	1640	A
USGS	12340500	2019-12-14	1640	A
USGS	12340500	2019-12-15	1620	A
USGS	12340500	2019-12-16	1560	A
USGS	12340500	2019-12-17	1500	A
USGS	12340500	2019-12-18	1380	A:e
USGS	12340500	2019-12-19	1400	A:e
USGS	12340500	2019-12-20	1610	A:e
USGS	12340500	2019-12-21	1610	A
USGS	12340500	2019-12-22	1560	A
USGS	12340500	2019-12-23	1560	A
USGS	12340500	2019-12-24	1590	A
USGS	12340500	2019-12-25	1550	A
USGS	12340500	2019-12-26	1510	A
USGS	12340500	2019-12-27	1330	A:e
USGS	12340500	2019-12-28	1340	A:e
USGS	12340500	2019-12-29	1440	A
USGS	12340500	2019-12-30	1460	A
USGS	12340500	2019-12-31	1470	A
USGS	12340500	2020-01-01	1580	A
USGS	12340500	2020-01-02	1670	A
USGS	12340500	2020-01-03	1620	A
USGS	12340500	2020-01-04	1560	A
USGS	12340500	2020-01-05	1520	A
USGS	12340500	2020-01-06	1490	A
USGS	12340500	2020-01-07	1520	A
USGS	12340500	2020-01-08	1550	A
