# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-03-22 12:40:24 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09486520 SANTA CRUZ RIVER AT TRICO ROAD, NR MARANA, AZ.
# -----------------------------------------------------------------------------------
#
# Data provided for site 09486520
#            TS   parameter     statistic     Description
#          5614       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	5614_00060_00003	5614_00060_00003_cd
5s	15s	20d	14n	10s
USGS	09486520	2019-10-31	10.1	A
USGS	09486520	2019-11-01	8.71	A
USGS	09486520	2019-11-02	8.53	A
USGS	09486520	2019-11-03	8.66	A
USGS	09486520	2019-11-04	10.4	A
USGS	09486520	2019-11-05	7.33	A
USGS	09486520	2019-11-06	6.72	A
USGS	09486520	2019-11-07	5.08	A
USGS	09486520	2019-11-08	5.15	A
USGS	09486520	2019-11-09	6.46	A
USGS	09486520	2019-11-10	7.72	A
USGS	09486520	2019-11-11	9.16	A
USGS	09486520	2019-11-12	9.09	A
USGS	09486520	2019-11-13	8.45	A
USGS	09486520	2019-11-14	8.46	A
USGS	09486520	2019-11-15	8.25	A
USGS	09486520	2019-11-16	7.78	A
USGS	09486520	2019-11-17	8.85	A
USGS	09486520	2019-11-18	10.3	A
USGS	09486520	2019-11-19	5.49	A
USGS	09486520	2019-11-20	11.7	A
USGS	09486520	2019-11-21	243	A
USGS	09486520	2019-11-22	61.6	A
USGS	09486520	2019-11-23	15.3	A
USGS	09486520	2019-11-24	17.6	A
USGS	09486520	2019-11-25	14.2	A
USGS	09486520	2019-11-26	11.1	A
USGS	09486520	2019-11-27	10.9	A
USGS	09486520	2019-11-28	11.2	A
USGS	09486520	2019-11-29	165	A
USGS	09486520	2019-11-30	122	A
USGS	09486520	2019-12-01	225	A
USGS	09486520	2019-12-02	48.0	A
USGS	09486520	2019-12-03	17.3	A
USGS	09486520	2019-12-04	14.6	A
USGS	09486520	2019-12-05	22.4	A
USGS	09486520	2019-12-06	13.0	A
USGS	09486520	2019-12-07	11.2	A
USGS	09486520	2019-12-08	15.3	A
USGS	09486520	2019-12-09	49.9	A
USGS	09486520	2019-12-10	52.8	A
USGS	09486520	2019-12-11	17.6	A
USGS	09486520	2019-12-12	20.3	A
USGS	09486520	2019-12-13	23.3	A
USGS	09486520	2019-12-14	10.1	A
USGS	09486520	2019-12-15	10.3	A
USGS	09486520	2019-12-16	18.2	A
USGS	09486520	2019-12-17	17.2	A
USGS	09486520	2019-12-18	13.0	A
USGS	09486520	2019-12-19	11.4	A
USGS	09486520	2019-12-20	7.12	A
USGS	09486520	2019-12-21	11.3	A
USGS	09486520	2019-12-22	9.35	A
USGS	09486520	2019-12-23	12.5	A
USGS	09486520	2019-12-24	10.1	A
USGS	09486520	2019-12-25	28.4	A
USGS	09486520	2019-12-26	12.0	A
USGS	09486520	2019-12-27	19.3	A
USGS	09486520	2019-12-28	28.2	A
USGS	09486520	2019-12-29	9.84	A
USGS	09486520	2019-12-30	18.9	A
USGS	09486520	2019-12-31	17.2	A
USGS	09486520	2020-01-01	17.8	A
USGS	09486520	2020-01-02	16.7	A
USGS	09486520	2020-01-03	16.8	A
USGS	09486520	2020-01-04	14.7	A
USGS	09486520	2020-01-05	16.2	A
USGS	09486520	2020-01-06	18.4	A
USGS	09486520	2020-01-07	13.0	A
USGS	09486520	2020-01-08	15.0	A
USGS	09486520	2020-01-09	14.7	A
USGS	09486520	2020-01-10	19.3	A
USGS	09486520	2020-01-11	17.9	A
USGS	09486520	2020-01-12	18.3	A
USGS	09486520	2020-01-13	17.3	A
USGS	09486520	2020-01-14	16.1	A:e
USGS	09486520	2020-01-15	14.6	A
USGS	09486520	2020-01-16	14.3	A
USGS	09486520	2020-01-17	14.8	A
USGS	09486520	2020-01-18	13.2	A
USGS	09486520	2020-01-19	16.3	A
USGS	09486520	2020-01-20	13.9	A
USGS	09486520	2020-01-21	18.0	A
USGS	09486520	2020-01-22	22.5	A
USGS	09486520	2020-01-23	14.6	A
USGS	09486520	2020-01-24	17.2	A
USGS	09486520	2020-01-25	15.0	A
USGS	09486520	2020-01-26	15.9	A
USGS	09486520	2020-01-27	18.6	A
USGS	09486520	2020-01-28	18.5	A
USGS	09486520	2020-01-29	13.6	A
USGS	09486520	2020-01-30	10.6	A
USGS	09486520	2020-01-31	14.6	A
USGS	09486520	2020-02-01	12.3	A
USGS	09486520	2020-02-02	14.1	A
USGS	09486520	2020-02-03	18.3	A
USGS	09486520	2020-02-04	17.0	A
USGS	09486520	2020-02-05	14.0	A
USGS	09486520	2020-02-06	18.5	A
USGS	09486520	2020-02-07	19.8	A
USGS	09486520	2020-02-08	20.7	A
USGS	09486520	2020-02-09	25.3	A
USGS	09486520	2020-02-10	25.4	A
USGS	09486520	2020-02-11	38.8	A
USGS	09486520	2020-02-12	26.3	A
USGS	09486520	2020-02-13	27.6	A
USGS	09486520	2020-02-14	28.0	A
USGS	09486520	2020-02-15	21.9	A
USGS	09486520	2020-02-16	24.5	A
USGS	09486520	2020-02-17	25.7	A
USGS	09486520	2020-02-18	24.1	A
USGS	09486520	2020-02-19	23.3	A
USGS	09486520	2020-02-20	20.3	A
USGS	09486520	2020-02-21	21.1	A
USGS	09486520	2020-02-22	22.6	A
USGS	09486520	2020-02-23	24.0	A
USGS	09486520	2020-02-24	25.8	A
